name,postcode,lat,lon
Coati and Vulture,IV18 0HY,57.696637536871000,-4.154841373562040
B and Gull,IV18 0AU,57.689432000000000,-4.164233836222480
Polecat and Grackle,IV18 0DX,57.688146724645000,-4.170610706361640
Pheasant and Perching duck,IV17 0QJ,57.696140520352000,-4.262074807969730
Booted eagles and Old World warbler,IV18 0NX,57.749110993378600,-4.072931079276640
Partridge and Bunting,IV18 0EG,57.687310632413700,-4.169067580104290
Rabbit and Booted eagles,IV20 1TN,57.792900000000000,-3.897521000000000
Fish eagle and Dolphin,IV18 0PW,57.705969904447100,-4.216913893802890
Peafowl and Darwin's finches,IV25 3RA,57.879186624175100,-4.040222220997020
Minke whale and Condor,IV18 0NN,57.747306058268700,-4.063518389912380
Vulture and Elephant,IV17 0RQ,57.693807803588100,-4.268406429142690
Vulture and Meadowlark,IV19 1HT,57.814762723947800,-4.058533373248600
American sparrow and Flameback,IV18 0AP,57.689624000000000,-4.166169000000000
Vole and Stilt,IV20 1XW,57.764178423192000,-3.927837689934110
Partridge and Logrunners,IV25 3AG,57.880485000000000,-4.031899000000000
Zebra and Stint,IV20 1SE,57.818277182929700,-3.917475237247180
Old World quail and Linsang,IV11 8UZ,57.681046007294400,-4.033986591813350
Puffleg and Moluccan boobook,IV18 0JB,57.695366987732500,-4.153473824808160
Triller and Buzzard,IV20 1UX,57.750008457638800,-3.920260420058040
Fulmarine petrel and Argus,IV19 1PG,57.726139596015600,-4.005851734228520
Moluccan boobook and Perching duck,IV19 1DE,57.806338715582400,-4.056656271701640
Linsang and Thrasher,IV25 3PD,57.886308000000000,-4.026762000000000
Chicken and Stint,IV18 0LH,57.729088000000000,-4.193218000000000
Asiatic leopard and Cuscus,IV19 1NX,57.803556735241200,-4.047932017068600
Mouse and Pitohui,IV25 3QJ,57.898377235645400,-4.019642899356240
Partridge and Magpie,IV25 3RR,57.878884639944000,-4.039446186895820
River dolphin and Egret,IV19 1GL,57.811766455686900,-4.054928481671050
Warbler and Tattler,IV16 9YQ,57.663752192959600,-4.342329384255080
Masked owl and Stint,IV18 0PB,57.761143000000000,-4.070090000000000
Treepie and Mole,IV19 1JP,57.807558532569600,-4.065074331289090
Lemming and Chicken,IV19 1QG,57.757831347844000,-4.005641377784190
Kangaroo and Greenbul,IV19 1JZ,57.834901323644400,-4.174042090408210
Crow and New World blackbird,IV18 0BA,57.690165062294500,-4.172895797699990
Viscacha and Bunting,IV18 0NR,57.693705534275800,-4.181749316102800
Fish eagle and Rabbit,IV19 1JE,57.812883948779200,-4.050833997786910
Argus and Moluccan boobook,IV18 0PG,57.717815591246600,-4.189883185202840
Jay and Civet,IV25 3TG,57.878962000000000,-4.038913000000000
Eagle and Wallaby,IV18 0PZ,57.691399783774100,-4.157449714991690
Mockingbird and Stint,IV19 1LL,57.814120996557300,-4.062638180111070
Chickadee and Darwin's finches,IV25 3HZ,57.908960703129100,-4.056594729986470
Ice seal and Wader,IV11 8YY,57.679134803965800,-4.037737094197610
Tahr and Badger,IV20 1UQ,57.755739688654800,-3.913186156302130
Bronzewing pigeon and Hawk,IV17 0YG,57.739472197246600,-4.325282536011600
Skunk and Maya,IV19 1BA,57.810898255559000,-4.053061075095640
Cuscus and New World blackbird,IV7 8LS,57.629975791669300,-4.300252923668490
Wader and Hawk,IV25 3SA,57.879513592038300,-4.026747882046290
Solitaire and Duck,IV24 3AE,57.878634757673700,-4.235846268453020
Hawk and Towhee,IV11 8YE,57.681803056107600,-4.036075367352320
Piping shrike and Civet,IV25 3LU,57.877555639358200,-4.025018734675550
Moluccan boobook and Warbler,IV25 3TD,57.880950213559600,-4.038955000000000
Kite and Thicketbird,IV17 0WN,57.702557000000000,-4.236745000000000
New World blackbird and Philippine hawk-owl,IV25 3BG,57.881762158060200,-4.023214414086740
Thicketbird and Thicketbird,IV18 0JH,57.694873984529900,-4.154988315432940
Recurvebill and Puffleg,IV25 3PR,57.910140582459700,-4.002444602992580
Hawaiian honeycreeper and Songlark,IV24 3AB,57.871863878114700,-4.297009319186560
Chicken and Philippine hawk-owl,IV18 0DG,57.688395805778000,-4.171279911553800
Jay and Dorcopsis,IV19 1EZ,57.811763308095900,-4.061762829134120
Triller and Pratincole,IV18 0BY,57.692304405704200,-4.175456864634270
Pitohui and Rabbit,IV19 1DB,57.808281807966800,-4.052626200647630
Polecat and Pheasant,IV19 1DZ,57.812307737834900,-4.055346465371230
Eagle and B,IV19 1JX,57.831295442210200,-4.107039000000000
Peafowl and Pheasant,IV17 0SJ,57.696157733355700,-4.251033946618740
Thrasher and Chickadee,IV25 3PN,57.889451594254300,-4.022161927736890
Eagle and Ground sloth,IV19 1EF,57.813521270082900,-4.058630949032690
Marmoset and Bunting,IV19 1LT,57.807587424916100,-4.068812665419670
Stilt and Parrotbill,IV25 3AE,57.879689000000000,-4.024939000000000
Recurvebill and Elephant,IV18 0PA,57.759359688760500,-4.050472396774110
Parrotbill and Viscacha,IV18 0JR,57.696328000000000,-4.151870000000000
Petrel and Masked owl,IV19 1LW,57.806898646410300,-4.068920000000000
Crow and Black cockatoo,IV18 0BU,57.690950799182600,-4.179972945154230
Stint and Fulmarine petrel,IV25 3LH,57.881414000000000,-4.024730000000000
Crow and Petrel,IV17 0QE,57.696379472664000,-4.264288045866780
Francolin and Vulture,IV19 1QP,57.725844489174200,-4.002359117746050
Wader and Kangaroo,IV25 3PB,57.882859528473000,-4.028201192462340
Prion and Scimitar babbler,IV16 9XU,57.662902480103800,-4.338720167944960
Stilt and Polecat,IV19 1DN,57.806738714420500,-4.049710829425270
Armadillo and Parrotlet,IV20 1XY,57.756696970079900,-3.915236857969750
Marsh harrier and Buzzard,IV16 9XP,57.670070000000000,-4.314430000000000
Triller and Elephant,IV18 0EH,57.686507120741600,-4.168767908253060
Ice seal and Tahr,IV19 1JD,57.813673587356400,-4.051451222005270
Armadillo and Greenbul,IV19 1NA,57.792240858997400,-4.004572606952340
Songlark and Warbler,IV16 9UZ,57.662696493556000,-4.353695743297840
Vole and New World blackbird,IV18 0DF,57.689661810416200,-4.162413202505950
Buzzard and Bronzewing pigeon,IV18 0LX,57.705719466727100,-4.147911000000000
Vole and Tit-tyrant,IV17 0TH,57.696321000000000,-4.246882000000000
Zebra and Tattler,IV25 3NR,57.885422000000000,-4.017364000000000
Kite and Badger,IV19 1NJ,57.805989641976700,-4.058235352240800
Night heron and Tattler,IV18 0QA,57.694614337608300,-4.180109196352530
Civet and Bronzewing pigeon,IV19 1LY,57.807693430314400,-4.047341218847250
Thrasher and Mouse,IV19 1NW,57.805738194747400,-4.059887294085680
Gull and Fox,IV19 1HX,57.812938596300200,-4.053008729585010
Treepie and Wader,IV25 3HA,57.895438659073500,-4.053646083037400
Tahr and White ibis,IV17 0WL,57.702145000000000,-4.235125000000000
Skunk and Elephant,IV20 1XP,57.773279960589400,-3.899854553843910
Chickadee and Boto,IV25 3QR,57.882913971898800,-4.022536977007100
Buzzard and Myna,IV19 1PS,57.807654000000000,-4.058094000000000
Chipmunk and Cuscus,IV18 0LR,57.696286316178000,-4.177977845344860
Thrasher and Chipmunk,IV17 0ZD,57.699910223401900,-4.226848010072560
Skunk and Macaw,IV18 0PU,57.741607745955200,-4.073543216381810
Buzzard and Vole,IV18 0JY,57.700794818802400,-4.139648310398970
Chipmunk and Peafowl,IV18 0BG,57.693012718204900,-4.186489736356320
