name,postcode,lat,lon
Perching duck and Boto,BT56 8PA,55.176450000000000,-6.648037000000000
Kite and Dolphin,BT56 8PL,55.197965000000000,-6.663562000000000
Chicken and Fox,BT51 4RL,55.161681000000000,-6.792512000000000
Ice seal and Duck,BT52 1JU,55.154220000000000,-6.670391000000000
Diving bird and Myna,BT51 4XZ,55.147620000000000,-6.779415000000000
Recurvebill and Mole,BT52 1GG,55.128267000000000,-6.666800000000000
Gull and Boto,BT52 2FP,55.138657000000000,-6.657452000000000
Songlark and Old World vulture,BT55 7SB,55.168813000000000,-6.706706000000000
Black jay and Thicketbird,BT56 8QR,55.200281000000000,-6.644432000000000
Bronzewing pigeon and Tattler,BT51 4XS,55.166373000000000,-6.794614000000000
Skunk and Dorcopsis,BT51 3QB,55.117155000000000,-6.684935000000000
Kestrel and Tattler,BT51 3JB,55.138222000000000,-6.681179000000000
Goose and Wader,BT56 8AX,55.208952000000000,-6.657052000000000
Minke whale and Dorcopsis,BT57 8AN,55.206438000000000,-6.525437000000000
Condor and Boto,BT51 4JL,55.106072000000000,-6.783097000000000
Black jay and Siskin,BT51 3NY,55.139881000000000,-6.696806000000000
Black jay and Thicketbird,BT52 2EZ,55.135312000000000,-6.649271000000000
Jay and Stint,BT52 1BD,55.132247000000000,-6.669538000000000
Linsang and Rabbit,BT52 2NW,55.151076000000000,-6.666260000000000
Elephant and Buzzard,BT52 1DN,55.131702000000000,-6.672237000000000
Magpie and Myna,BT51 4XP,55.146175000000000,-6.777108000000000
Warbler and Thicketbird,BT56 8DJ,55.204108000000000,-6.651747000000000
Stilt and Nukupuʻu,BT57 8XP,55.205005000000000,-6.481240000000000
Maya and Mouse,BT52 2BP,55.135812000000000,-6.662018000000000
Grackle and Cuscus,BT52 2JZ,55.106079000000000,-6.592048000000000
Mink and Armadillo,BT51 3TJ,55.112710000000000,-6.682913000000000
Cloud rat and Bronzewing pigeon,BT52 1DT,55.131131000000000,-6.673148000000000
Myna and Nukupuʻu,BT52 1DE,55.131544000000000,-6.671504000000000
Argus and Peafowl,BT51 4LX,55.137571000000000,-6.739986000000000
Stint and Mole,BT52 2LG,55.154223000000000,-6.664100000000000
Mamo and Grouse,BT57 8SQ,55.206793000000000,-6.519456000000000
Viscacha and Thrasher,BT51 3NG,55.137164000000000,-6.688897000000000
American sparrow and Cuscus,BT52 1HJ,55.126000000000000,-6.665921000000000
Greenbul and Black jay,BT52 1PG,55.134510000000000,-6.663547000000000
Herring gull and Black jay,BT52 1NQ,55.124956000000000,-6.660030000000000
Tit-tyrant and Buzzard,BT57 8NP,55.217163000000000,-6.551689000000000
Mamo and Darwin's finches,BT52 1EP,55.130992000000000,-6.670615000000000
Solitaire and Minke whale,BT55 7LG,55.174618000000000,-6.716233000000000
Viscacha and Lemming,BT52 2PL,55.176748000000000,-6.629441000000000
Macaw and Snipe,BT51 3QJ,55.104664000000000,-6.696495000000000
Elephant and Warbler,BT53 6PA,55.128243000000000,-6.562733000000000
Old World vulture and Fish eagle,BT52 1NN,55.115508000000000,-6.660784000000000
Darwin's finches and Cuscus,BT57 8UB,55.156260000000000,-6.547372000000000
Mockingbird and New World blackbird,BT53 6TF,55.127916000000000,-6.557338000000000
Recurvebill and Partridge,BT55 7GF,55.188613000000000,-6.717887000000000
Mamo and Condor,BT57 8TG,55.209153000000000,-6.506769000000000
B and Guillemot,BT51 4LP,55.121116000000000,-6.739519000000000
Nukupuʻu and Armadillo,BT56 8HG,55.194899000000000,-6.647789000000000
Capuchin and Bunting,BT52 2NF,55.150362000000000,-6.667286000000000
Dorcopsis and Wader,BT56 8BX,55.207014000000000,-6.652953000000000
Dorcopsis and Tahr,BT55 7JF,55.172033000000000,-6.709299000000000
Mink and Prion,BT56 8DG,55.205652000000000,-6.654367000000000
Marmoset and Towhee,BT52 1BB,55.128465000000000,-6.662123000000000
Duck and Marmoset,BT51 4TW,55.161728000000000,-6.787080000000000
Hawaiian honeycreeper and Mamo,BT51 3JE,55.140627000000000,-6.684267000000000
Vole and Grosbeak,BT55 7BZ,55.186767000000000,-6.710646000000000
Booted eagles and Buzzard,BT52 2HS,55.144284000000000,-6.653971000000000
White ibis and Grouse,BT55 7EX,55.180493000000000,-6.699311000000000
Night heron and Treepie,BT55 7JN,55.181939000000000,-6.717929000000000
Tit-tyrant and Ice seal,BT56 8FQ,55.203145000000000,-6.660529000000000
Old World vulture and Grackle,BT55 7EA,55.182024000000000,-6.717202000000000
Dorcopsis and Snipe,BT51 3JP,55.142062000000000,-6.680754000000000
Darwin's finches and Francolin,BT52 1AW,55.131486000000000,-6.668715000000000
Prion and American sparrow,BT55 7QW,55.168710000000000,-6.702017000000000
Parakeet and Grosbeak,BT51 3DL,55.142380000000000,-6.679411000000000
Lemming and Shearwater,BT52 1NF,55.126008000000000,-6.658974000000000
Coati and Moluccan boobook,BT57 8WG,55.170533000000000,-6.504979000000000
Diving bird and Zebra,BT51 4SZ,55.146749000000000,-6.796837000000000
Mamo and Goose,BT55 7NL,55.174807000000000,-6.720528000000000
Siskin and Old World quail,BT52 1DY,55.113874000000000,-6.649429000000000
Pitohui and White ibis,BT56 8HY,55.196069000000000,-6.656983000000000
Ground sloth and Black cockatoo,BT52 1AD,55.130753000000000,-6.670058000000000
Ground sloth and Triller,BT55 7RU,55.171293000000000,-6.719226000000000
Chicken and Duck,BT51 4UU,55.146735000000000,-6.770862000000000
Mockingbird and Boto,BT52 1ER,55.129871000000000,-6.670730000000000
Masked owl and Herring gull,BT51 3SA,55.108443000000000,-6.654143000000000
White ibis and Booted eagles,BT56 8EE,55.198004000000000,-6.655630000000000
Bronzewing pigeon and Parrotlet,BT55 7EY,55.182706000000000,-6.707213000000000
Parrotbill and Warbler,BT51 4TZ,55.153834000000000,-6.781235000000000
Armadillo and Herring gull,BT52 1HN,55.112665000000000,-6.642764000000000
Lemming and Skunk,BT53 6NZ,55.119804000000000,-6.557127000000000
Pratincole and Shearwater,BT55 7SW,55.178472000000000,-6.708575000000000
Pheasant and Fulmarine petrel,BT56 8PN,55.195573000000000,-6.660594000000000
Tattler and Fulmarine petrel,BT52 1EQ,55.130043000000000,-6.672496000000000
Goose and Gull,BT52 1ZF,55.116424000000000,-6.642632000000000
Peafowl and Wallaby,BT52 2DZ,55.134072000000000,-6.656589000000000
Grosbeak and Perching duck,BT51 3NX,55.142349000000000,-6.702481000000000
Nukupuʻu and Partridge,BT56 8SG,55.194531000000000,-6.645161000000000
Treepie and Petrel,BT55 7RT,55.173498000000000,-6.723079000000000
Cuscus and Marmoset,BT56 8SS,55.190808000000000,-6.654774000000000
Triller and Chicken,BT55 7QR,55.170680000000000,-6.701435000000000
Warbler and Triller,BT51 3EU,55.127431000000000,-6.681033000000000
Lemming and Bronzewing pigeon,BT55 7HG,55.186726000000000,-6.708418000000000
Tattler and Minke whale,BT57 8RR,55.216254000000000,-6.537219000000000
Civet and Fish eagle,BT55 7SD,55.169017000000000,-6.706133000000000
Cuscus and Wallaby,BT55 7PB,55.178890000000000,-6.724369000000000
Greenbul and Tattler,BT57 8SU,55.233402000000000,-6.513357000000000
Guillemot and Puffleg,BT52 2QT,55.152600000000000,-6.664232000000000
Maya and Minke whale,BT55 7RZ,55.168592000000000,-6.700590000000000
Perching duck and Myna,BT51 3DQ,55.129117000000000,-6.679112000000000
New World blackbird and Puffleg,BT56 8AZ,55.209288000000000,-6.656554000000000
Macaw and Polecat,BT55 7AL,55.184838000000000,-6.716831000000000
Francolin and Snipe,BT51 4EW,55.167351000000000,-6.795116000000000
Armadillo and Parakeet,BT52 2QR,55.145331000000000,-6.658485000000000
Triller and Stilt,BT55 7PZ,55.170855000000000,-6.710862000000000
Gull and Francolin,BT52 1WR,55.113675000000000,-6.638857000000000
Fish eagle and Jackal,BT52 2HD,55.136816000000000,-6.648782000000000
Ibex and Old World quail,BT55 7GJ,55.182558000000000,-6.704799000000000
Eagle and Mink,BT56 8TE,55.188642000000000,-6.647151000000000
Buzzard and Guillemot,BT55 7NP,55.173750000000000,-6.718223000000000
Jay and Towhee,BT56 8SU,55.188610000000000,-6.651032000000000
Viscacha and Lemming,BT52 1TL,55.117785000000000,-6.660331000000000
Pheasant and Hawaiian honeycreeper,BT51 4LR,55.125894000000000,-6.721325000000000
Masked owl and Meadowlark,BT56 8NE,55.195392000000000,-6.593498000000000
Partridge and Grosbeak,BT51 3JA,55.135589000000000,-6.680246000000000
Quetzal and Grosbeak,BT51 3TH,55.112942000000000,-6.680241000000000
Night heron and Parrotlet,BT56 8DA,55.208074000000000,-6.656516000000000
Kangaroo and Armadillo,BT51 3PY,55.121952000000000,-6.679395000000000
Fish eagle and Greenbul,BT51 3HG,55.126579000000000,-6.681955000000000
Ground sloth and River dolphin,BT52 2PR,55.165553000000000,-6.668098000000000
Nukupuʻu and Chickadee,BT52 1RA,55.132801699999990,-6.666579899999988
Duck and Pheasant,BT53 6NU,55.129352000000000,-6.557271000000000
Vole and Chickadee,BT51 3NL,55.136359000000000,-6.676708000000000
Parakeet and Jackal,BT52 2DD,55.138354000000000,-6.647318000000000
Black jay and Zebra,BT52 2AE,55.138041000000000,-6.661332000000000
Marmoset and Grouse,BT51 3BL,55.135607000000000,-6.689481000000000
Cuscus and New World blackbird,BT56 8JG,55.200942000000000,-6.642509000000000
Diving bird and Rat,BT52 2PB,55.162158000000000,-6.643749000000000
Parrotlet and Crow,BT55 7DQ,55.189888000000000,-6.706777000000000
Pheasant and Black cockatoo,BT56 8HW,55.195406000000000,-6.656299000000000
Prion and Logrunners,BT55 7AA,55.182312000000000,-6.718309000000000
Fulmarine petrel and Buzzard,BT51 3HY,55.146841000000000,-6.691323000000000
Ground sloth and Jerboa,BT52 2FN,55.138473000000000,-6.657819000000000
Ice seal and Rat,BT51 3TA,55.136055000000000,-6.676828000000000
Ibex and Buzzard,BT53 8AT,55.134197000000000,-6.480624000000000
Wallaby and Piping shrike,BT51 3LN,55.134542000000000,-6.683934000000000
Booted eagles and Stint,BT55 7PF,55.181935000000000,-6.720912000000000
Chicken and Vulture,BT57 8TN,55.186989000000000,-6.516862000000000
Elephant and Guillemot,BT51 4UQ,55.145640000000000,-6.770365000000000
Night heron and Egret,BT52 1LY,55.130856000000000,-6.665555000000000
Tahr and Bunting,BT52 2PN,55.171528000000000,-6.673765000000000
Black jay and Nukupuʻu,BT51 3RR,55.109382000000000,-6.660269000000000
Ice seal and Prion,BT51 3SZ,55.108190000000000,-6.656455000000000
Linsang and Marmoset,BT52 1JW,55.113286000000000,-6.652317000000000
Kangaroo and Herring gull,BT51 4SW,55.140594000000000,-6.804863000000000
Peafowl and B,BT51 3AZ,55.122993000000000,-6.678436000000000
Duck and Eagle,BT52 1HF,55.127948000000000,-6.668270000000000
Towhee and Goose,BT55 7SS,55.183683000000000,-6.694356000000000
Night heron and Scimitar babbler,BT52 1XL,55.115751000000000,-6.647283000000000
Ground sloth and Cuscus,BT52 2NU,55.142497000000000,-6.655363000000000
Solitaire and Masked owl,BT55 7AF,55.183978000000000,-6.718443000000000
Ibex and New World blackbird,BT53 6RE,55.129786000000000,-6.561284000000000
Kite and Partridge,BT57 8QG,55.206152000000000,-6.524397000000000
Minke whale and Zebra,BT51 4XG,55.160210000000000,-6.761459000000000
Partridge and Wader,BT57 8GG,55.195807000000000,-6.578378000000000
Hawaiian honeycreeper and Vole,BT51 3PW,55.114939000000000,-6.677965000000000
Recurvebill and Chipmunk,BT51 3AH,55.123608000000000,-6.677162000000000
Tree warbler and Jerboa,BT55 7AD,55.186653000000000,-6.719168000000000
Rat and Ibex,BT52 2JN,55.143741000000000,-6.660122000000000
American sparrow and Vole,BT56 8FN,55.206279000000000,-6.653936000000000
Moluccan boobook and Snipe,BT57 8UZ,55.178437000000000,-6.531479000000000
Triller and Capuchin,BT51 3HL,55.132351000000000,-6.677453000000000
Ground sloth and Jackal,BT56 8NT,55.190178000000000,-6.634492000000000
Diving bird and Crow,BT52 1NZ,55.127060000000000,-6.670792000000000
Recurvebill and River dolphin,BT55 7UP,55.175704000000000,-6.717594000000000
Vole and Piping shrike,BT56 8DP,55.203127000000000,-6.650196000000000
New World blackbird and Civet,BT55 7BE,55.188271000000000,-6.716623000000000
Guillemot and Thrasher,BT52 1WE,55.115486000000000,-6.641211000000000
Perching duck and Fish eagle,BT55 7DJ,55.188131000000000,-6.704588000000000
Skunk and Mouse,BT57 8PQ,55.215352000000000,-6.545910000000000
Night heron and Hawk,BT52 1AF,55.130534000000000,-6.669799000000000
Wader and Perching duck,BT51 3DJ,55.129624000000000,-6.680239000000000
Tahr and Civet,BT52 1LF,55.131940000000000,-6.666646000000000
Philippine hawk-owl and Moluccan boobook,BT51 4TJ,55.165645000000000,-6.785582000000000
Jackal and Moluccan boobook,BT55 7SJ,55.176447000000000,-6.713349000000000
Jerboa and Diving bird,BT52 2HR,55.146110000000000,-6.654976000000000
